"region","rank","ExoTest","ExoTest_Boot","Zero_Rank"
1,2,0.0011,0.1055,FALSE
2,2,0,0.005,FALSE
3,2,0.5968,0.9196,FALSE
4,2,0.0212,0.4322,FALSE
5,2,0.1094,0.5377,FALSE
6,2,0.002,0.1658,FALSE
7,2,0.0012,0.1106,FALSE
8,2,0.0098,0.2513,FALSE
9,2,0.0452,0.4171,FALSE
10,1,0.4267,0.6281,FALSE
11,2,8e-4,0.0302,FALSE
12,NA,NA,NA,FALSE
13,2,0.3484,0.6834,FALSE
14,2,0,0,FALSE
15,2,0.0142,0.1457,FALSE
16,NA,NA,NA,FALSE
17,2,1e-4,0.0402,FALSE
18,2,0.0011,0.1005,FALSE
19,2,0.0929,0.5729,FALSE
20,2,6e-4,0.0905,FALSE
21,2,0.0255,0.3869,FALSE
22,2,4e-4,0.0653,FALSE
23,2,0,0.0101,FALSE
24,2,0.2361,0.6884,FALSE
25,2,0.3866,0.7437,FALSE
26,2,0,0.0101,FALSE
27,2,0,0.0302,FALSE
28,2,2e-4,0.0101,FALSE
29,2,0.0102,0.2161,FALSE
30,2,0.0183,0.3166,FALSE
31,2,0.0139,0.3618,FALSE
32,2,0.0041,0.2714,FALSE
33,2,3e-4,0.1658,FALSE
34,2,0.0024,0.2412,FALSE
35,2,0.0434,0.3668,FALSE
36,2,0.0211,0.2161,FALSE
37,2,0,0.0201,FALSE
38,2,0.0025,0.1307,FALSE
39,2,0.2559,0.6834,FALSE
40,2,0.0163,0.4372,FALSE
41,2,1e-4,0.0553,FALSE
42,2,0.2852,0.7688,FALSE
43,2,0,0.0352,FALSE
44,2,2e-4,0.0854,FALSE
45,2,0.0441,0.3869,FALSE
46,2,0.0351,0.407,FALSE
47,2,0.8158,0.9598,FALSE
48,2,0,0.0302,FALSE
49,2,0.0014,0.1709,FALSE
50,2,0.172,0.7588,FALSE
51,2,0.001,0.1508,FALSE
52,2,0,0.0201,FALSE
53,2,0,0,FALSE
54,2,2e-4,0.0854,FALSE
55,2,0.2886,0.6181,FALSE
56,2,0.0179,0.1658,FALSE
57,2,0,0.0503,FALSE
58,2,0.2071,0.7839,FALSE
59,2,0.6106,0.9648,FALSE
60,2,0.3327,0.8141,FALSE
61,2,1e-4,0.1558,FALSE
62,1,0.0369,0.3216,FALSE
63,2,0,0.0452,FALSE
64,2,4e-4,0.0754,FALSE
65,2,0.0472,0.3266,FALSE
66,2,0.1151,0.4925,FALSE
67,2,0.0697,0.5427,FALSE
68,2,0.3754,0.7538,FALSE
69,2,0.1014,0.5578,FALSE
70,2,0.1702,0.603,FALSE
71,2,0.1327,0.6784,FALSE
72,2,0,0.0302,FALSE
73,2,0.0019,0.1709,FALSE
74,1,1e-4,0.0452,FALSE
75,2,0.001,0.1508,FALSE
76,2,0,0.0653,FALSE
77,2,0.1727,0.5829,FALSE
78,2,0.0063,0.201,FALSE
79,2,4e-4,0.0905,FALSE
80,2,0,0.0101,FALSE
81,2,0.0487,0.3618,FALSE
82,2,0.0075,0.2412,FALSE
83,2,2e-4,0.0503,FALSE
84,2,0.112,0.3618,FALSE
85,2,0.0707,0.4322,FALSE
86,2,0.0483,0.3869,FALSE
87,2,0.5108,0.8191,FALSE
88,2,0,0.0503,FALSE
89,2,0.0653,0.4322,FALSE
90,2,0.5369,0.8342,FALSE
91,2,2e-4,0.0754,FALSE
92,2,0.4489,0.7839,FALSE
93,2,1e-4,0.0402,FALSE
94,2,0,0,FALSE
95,2,0,0.005,FALSE
96,2,0,0.005,FALSE
97,2,0.0153,0.2965,FALSE
98,2,0.0516,0.4271,FALSE
99,1,0.3662,0.6332,FALSE
100,2,7e-4,0.1106,FALSE
101,2,0.1802,0.608,FALSE
102,2,0.0353,0.3869,FALSE
103,2,0.0123,0.2362,FALSE
104,2,0.0216,0.2312,FALSE
105,2,1e-4,0.0101,FALSE
106,2,0.0031,0.1558,FALSE
107,2,0.0154,0.191,FALSE
108,2,0.1142,0.608,FALSE
109,2,0.1911,0.6231,FALSE
110,2,0.0286,0.4975,FALSE
