"","x"
"1","ABAETETUBA"
"2","ABREU E LIMA"
"3","ACAILANDIA"
"4","ADAMANTINA"
"5","AFOGADOS DA INGAZEIRA"
"6","AGUAS LINDAS DE GOIAS"
"7","ALAGOINHAS"
"8","ALEGRETE"
"9","ALENQUER"
"10","ALFENAS"
"11","ALMIRANTE TAMANDARE"
"12","ALTA FLORESTA"
"13","ALTAMIRA"
"14","ALVORADA"
"15","AMERICANA"
"16","AMPARO"
"17","ANANINDEUA"
"18","ANAPOLIS"
"19","ANGRA DOS REIS"
"20","APARECIDA DE GOIANIA"
"21","APIAI"
"22","APUCARANA"
"23","ARACAJU"
"24","ARACATUBA"
"25","ARACRUZ"
"26","ARAGUAINA"
"27","ARAGUARI"
"28","ARAPIRACA"
"29","ARAPONGAS"
"30","ARARANGUA"
"31","ARARAQUARA"
"32","ARARAS"
"33","ARARIPINA"
"34","ARARUAMA"
"35","ARAUCARIA"
"36","ARAXA"
"37","ARCOVERDE"
"38","ARIQUEMES"
"39","ARMACAO DOS BUZIOS"
"40","ASSIS"
"41","ASSIS CHATEAUBRIAND"
"42","ATIBAIA"
"43","AVARE"
"44","BACABAL"
"45","BAGE"
"46","BALNEARIO CAMBORIU"
"47","BALSAS"
"48","BARBACENA"
"49","BARRA DE SAO FRANCISCO"
"50","BARRA DO CORDA"
"51","BARRA DO PIRAI"
"52","BARRA MANSA"
"53","BARRAS"
"54","BARREIRAS"
"55","BARRETOS"
"56","BARUERI"
"57","BAURU"
"58","BAYEUX"
"59","BEBEDOURO"
"60","BEBERIBE"
"61","BELEM"
"62","BELFORD ROXO"
"63","BELO HORIZONTE"
"64","BELO JARDIM"
"65","BENTO GONCALVES"
"66","BETIM"
"67","BIGUACU"
"68","BIRIGUI"
"69","BLUMENAU"
"70","BOA VISTA"
"71","BOM CONSELHO"
"72","BOM DESPACHO"
"73","BOTUCATU"
"74","BRAGANCA"
"75","BRAGANCA PAULISTA"
"76","BRASILIA"
"77","BRUMADO"
"78","BRUSQUE"
"79","CABEDELO"
"80","CABO DE SANTO AGOSTINHO"
"81","CABO FRIO"
"82","CACADOR"
"83","CACAPAVA"
"84","CACAPAVA DO SUL"
"85","CACERES"
"86","CACHOEIRA DO SUL"
"87","CACHOEIRINHA"
"88","CACHOEIRO DE ITAPEMIRIM"
"89","CACOAL"
"90","CAETITE"
"91","CAICO"
"92","CALDAS NOVAS"
"93","CAMACARI"
"94","CAMARAGIBE"
"95","CAMBE"
"96","CAMETA"
"97","CAMPINA GRANDE"
"98","CAMPINAS"
"99","CAMPO FORMOSO"
"100","CAMPO GRANDE"
"101","CAMPO LARGO"
"102","CAMPO MAIOR"
"103","CAMPO MOURAO"
"104","CAMPOS DO JORDAO"
"105","CAMPOS DOS GOYTACAZES"
"106","CANDEIAS"
"107","CANINDE"
"108","CANOAS"
"109","CAPAO BONITO"
"110","CARAGUATATUBA"
"111","CARAPICUIBA"
"112","CARATINGA"
"113","CARIACICA"
"114","CAROLINA"
"115","CARUARU"
"116","CASCAVEL"
"117","CASTANHAL"
"118","CASTELO"
"119","CASTRO"
"120","CATAGUASES"
"121","CATALAO"
"122","CATANDUVA"
"123","CAUCAIA"
"124","CAXIAS"
"125","CAXIAS DO SUL"
"126","CHAPECO"
"127","CIANORTE"
"128","CODO"
"129","COLATINA"
"130","COLOMBO"
"131","CONCEICAO DO ARAGUAIA"
"132","CONCEICAO DO JACUIPE"
"133","CONCORDIA"
"134","CONGONHAS"
"135","CONSELHEIRO LAFAIETE"
"136","CONTAGEM"
"137","CORNELIO PROCOPIO"
"138","CORONEL FABRICIANO"
"139","CORUMBA"
"140","COSMOPOLIS"
"141","COTIA"
"142","COXIM"
"143","CRATEUS"
"144","CRATO"
"145","CRICIUMA"
"146","CRUZ ALTA"
"147","CRUZEIRO"
"148","CRUZEIRO DO SUL"
"149","CUBATAO"
"150","CUIABA"
"151","CURITIBA"
"152","CURRAIS NOVOS"
"153","CURVELO"
"154","DELMIRO GOUVEIA"
"155","DIADEMA"
"156","DIAMANTINA"
"157","DIANOPOLIS"
"158","DIVINOPOLIS"
"159","DOURADOS"
"160","DRACENA"
"161","DUQUE DE CAXIAS"
"162","EMBU"
"163","ERECHIM"
"164","ESTEIO"
"165","EUNAPOLIS"
"166","FEIRA DE SANTANA"
"167","FERRAZ DE VASCONCELOS"
"168","FLORIANOPOLIS"
"169","FORMIGA"
"170","FORMOSA"
"171","FORTALEZA"
"172","FOZ DO IGUACU"
"173","FRANCA"
"174","FRANCISCO BELTRAO"
"175","FRANCISCO MORATO"
"176","FRANCO DA ROCHA"
"177","FRUTAL"
"178","GARANHUNS"
"179","GARCA"
"180","GOIANA"
"181","GOIANIA"
"182","GOIATUBA"
"183","GOVERNADOR VALADARES"
"184","GRAMADO"
"185","GRAVATA"
"186","GRAVATAI"
"187","GUAIBA"
"188","GUAJARA-MIRIM"
"189","GUANAMBI"
"190","GUARAPARI"
"191","GUARAPUAVA"
"192","GUARATINGUETA"
"193","GUARUJA"
"194","GUARULHOS"
"195","GUAXUPE"
"196","GURUPI"
"197","HORTOLANDIA"
"198","HUMAITA"
"199","IBIRITE"
"200","IBITINGA"
"201","ICO"
"202","IGARASSU"
"203","IGUATU"
"204","IJUI"
"205","ILHEUS"
"206","IMPERATRIZ"
"207","INDAIATUBA"
"208","IPATINGA"
"209","IPIRA"
"210","IPU"
"211","IRECE"
"212","ITABAIANA"
"213","ITABAIANINHA"
"214","ITABIRA"
"215","ITABORAI"
"216","ITABUNA"
"217","ITACOATIARA"
"218","ITAGUAI"
"219","ITAITUBA"
"220","ITAJAI"
"221","ITAJUBA"
"222","ITAMARAJU"
"223","ITANHAEM"
"224","ITAPECERICA DA SERRA"
"225","ITAPEMIRIM"
"226","ITAPERUNA"
"227","ITAPETININGA"
"228","ITAPEVA"
"229","ITAPEVI"
"230","ITAPIPOCA"
"231","ITAPIRA"
"232","ITAPOLIS"
"233","ITAQUAQUECETUBA"
"234","ITATIBA"
"235","ITAUNA"
"236","ITU"
"237","ITUIUTABA"
"238","ITUMBIARA"
"239","JABOATAO DOS GUARARAPES"
"240","JABOTICABAL"
"241","JACAREI"
"242","JACOBINA"
"243","JAGUAQUARA"
"244","JAGUARAO"
"245","JAGUARE"
"246","JALES"
"247","JANAUBA"
"248","JANDIRA"
"249","JANUARIA"
"250","JARAGUA DO SUL"
"251","JATAI"
"252","JAU"
"253","JEQUIE"
"254","JI-PARANA"
"255","JOAO MONLEVADE"
"256","JOAO PESSOA"
"257","JOAO PINHEIRO"
