"ETANOL_HIDRATADO","QtdMunicipios"
2,1
7,1
18,1
26,1
43,1
61,1
69,1
71,1
103,1
136,1
178,1
187,1
222,1
247,1
338,1
357,1
374,1
385,1
402,1
480,1
488,1
504,1
553,1
559,1
567,1
570,1
580,1
581,1
627,1
640,1
641,1
649,1
651,1
655,1
659,1
668,1
671,1
674,1
676,1
679,1
715,1
758,1
764,1
766,1
776,1
780,1
782,1
786,1
787,1
788,1
797,1
798,1
800,1
802,1
803,1
880,1
883,1
887,1
889,1
560,2
566,2
568,2
573,2
579,2
657,2
660,2
665,2
667,2
680,2
765,2
806,2
810,2
847,2
853,2
867,2
869,2
870,2
876,2
571,3
572,3
578,3
652,3
654,3
662,3
663,3
672,3
804,3
805,3
831,3
832,3
855,3
859,3
866,3
873,3
874,3
878,3
888,3
574,4
661,4
666,4
799,4
807,4
829,4
837,4
842,4
846,4
854,4
875,4
577,5
808,5
809,5
819,5
821,5
848,5
849,5
856,5
863,5
864,5
868,5
872,5
877,5
576,6
813,6
818,6
825,6
830,6
833,6
834,6
838,6
839,6
845,6
850,6
860,6
861,6
812,7
822,7
827,7
828,7
836,7
840,7
841,7
844,7
851,7
852,7
857,7
858,7
865,7
871,7
814,8
815,8
817,8
820,8
824,8
826,8
835,8
811,9
843,9
890,9
816,10
891,11
823,12
