"GASOLINA_COMUM","QtdMunicipios"
539,1
567,1
569,1
575,1
653,1
654,1
671,1
674,1
676,1
679,1
680,1
798,1
799,1
801,1
803,1
832,1
869,1
880,1
564,2
566,2
573,2
580,2
581,2
649,2
655,2
657,2
659,2
660,2
663,2
665,2
667,2
668,2
800,2
807,2
853,2
862,2
867,2
874,2
889,2
568,3
574,3
579,3
652,3
662,3
672,3
810,3
837,3
854,3
876,3
878,3
888,3
571,4
572,4
578,4
661,4
666,4
804,4
805,4
806,4
821,4
829,4
835,4
841,4
846,4
859,4
860,4
863,4
866,4
870,4
872,4
877,4
570,5
818,5
825,5
827,5
833,5
847,5
848,5
849,5
855,5
856,5
871,5
875,5
576,6
811,6
817,6
824,6
839,6
842,6
851,6
852,6
861,6
864,6
865,6
868,6
873,6
890,6
819,7
828,7
838,7
840,7
843,7
844,7
845,7
850,7
858,7
577,8
808,8
809,8
814,8
815,8
820,8
830,8
831,8
857,8
812,9
834,9
836,9
822,10
826,11
813,12
816,12
823,12
891,16
