"GNV","QtdMunicipios"
11,1
12,1
13,1
16,1
17,1
18,1
22,1
23,1
24,1
29,1
36,1
42,1
47,1
48,1
53,1
56,1
59,1
62,1
63,1
69,1
70,1
72,1
76,1
93,1
94,1
102,1
110,1
111,1
114,1
115,1
117,1
132,1
135,1
137,1
140,1
161,1
172,1
176,1
180,1
186,1
208,1
209,1
210,1
217,1
224,1
226,1
231,1
235,1
237,1
239,1
247,1
252,1
253,1
260,1
271,1
274,1
281,1
284,1
285,1
289,1
291,1
296,1
300,1
302,1
312,1
313,1
322,1
323,1
326,1
331,1
337,1
343,1
345,1
348,1
350,1
363,1
376,1
384,1
386,1
389,1
396,1
409,1
415,1
420,1
423,1
433,1
436,1
440,1
446,1
451,1
457,1
460,1
475,1
481,1
489,1
491,1
492,1
499,1
500,1
509,1
517,1
526,1
535,1
537,1
550,1
558,1
565,1
567,1
570,1
584,1
586,1
588,1
589,1
591,1
594,1
614,1
621,1
623,1
624,1
626,1
627,1
629,1
642,1
646,1
649,1
651,1
652,1
655,1
662,1
668,1
682,1
687,1
689,1
692,1
701,1
702,1
703,1
704,1
705,1
707,1
709,1
715,1
732,1
734,1
736,1
740,1
744,1
746,1
751,1
753,1
772,1
773,1
778,1
781,1
782,1
783,1
785,1
789,1
794,1
796,1
797,1
798,1
802,1
803,1
804,1
806,1
812,1
815,1
820,1
825,1
826,1
832,1
840,1
844,1
847,1
848,1
850,1
852,1
857,1
860,1
865,1
867,1
868,1
872,1
876,1
877,1
881,1
7,2
9,2
14,2
15,2
40,2
51,2
100,2
121,2
169,2
245,2
264,2
297,2
352,2
485,2
710,2
836,2
845,2
5,3
6,3
10,3
375,3
677,3
839,3
891,4
4,5
3,18
2,48
1,72
NA,169
