"Agrupamento","ETANOL_HIDRATADO","OLEO_DIESEL","GASOLINA_COMUM","Min","check"
1399,759,759,759,759,1
2202,759,759,759,759,1
2404,759,759,759,759,1
2504,759,759,759,759,1
2903,759,759,759,759,1
2905,759,759,759,759,1
3105,759,759,759,759,1
3107,759,759,759,759,1
3112,759,759,759,759,1
3203,759,759,759,759,1
3305,759,759,759,759,1
3306,759,759,759,759,1
3501,759,759,759,759,1
3502,759,759,759,759,1
3507,759,759,759,759,1
3512,759,759,759,759,1
3515,759,759,759,759,1
4103,759,759,759,759,1
4110,759,759,759,759,1
4305,759,759,759,759,1
4306,759,759,759,759,1
5002,759,759,759,759,1
5104,759,759,759,759,1
5203,759,759,759,759,1
5301,759,759,759,759,1
1299,758,759,759,758,0.9986824769433466
1702,758,758,759,758,0.9986824769433466
2703,758,759,759,758,0.9986824769433466
2803,759,758,759,758,0.9986824769433466
2907,758,759,758,758,0.9986824769433466
3102,758,759,759,758,0.9986824769433466
3108,758,759,758,758,0.9986824769433466
3109,758,759,758,758,0.9986824769433466
3302,758,758,758,758,0.9986824769433466
3513,758,758,758,758,0.9986824769433466
4106,758,759,758,758,0.9986824769433466
4202,758,759,759,758,0.9986824769433466
4204,758,758,758,758,0.9986824769433466
4205,758,758,759,758,0.9986824769433466
4206,758,759,759,758,0.9986824769433466
4302,758,758,758,758,0.9986824769433466
2599,757,757,757,757,0.997364953886693
3505,757,757,757,757,0.997364953886693
3506,757,757,757,757,0.997364953886693
1101,757,756,757,756,0.9960474308300395
1102,756,757,757,756,0.9960474308300395
2101,756,757,757,756,0.9960474308300395
2902,756,756,756,756,0.9960474308300395
3110,756,757,757,756,0.9960474308300395
3303,756,756,756,756,0.9960474308300395
5205,757,757,756,756,0.9960474308300395
1597,755,755,755,755,0.994729907773386
1701,754,755,754,754,0.9934123847167325
2906,754,755,754,754,0.9934123847167325
4105,754,755,754,754,0.9934123847167325
4301,754,754,754,754,0.9934123847167325
2399,753,753,753,753,0.9920948616600791
3304,753,753,753,753,0.9920948616600791
3510,753,753,753,753,0.9920948616600791
1499,752,759,759,752,0.9907773386034255
4101,752,753,752,752,0.9907773386034255
5101,752,753,753,752,0.9907773386034255
5204,752,752,752,752,0.9907773386034255
1598,759,751,759,751,0.9894598155467721
2102,751,752,752,751,0.9894598155467721
2104,751,752,752,751,0.9894598155467721
4304,751,751,751,751,0.9894598155467721
2802,750,751,751,750,0.9881422924901185
4199,750,751,750,750,0.9881422924901185
151699,749,758,758,749,0.9868247694334651
2199,748,749,749,748,0.9855072463768116
2307,748,748,748,748,0.9855072463768116
3503,748,748,748,748,0.9855072463768116
3504,748,748,748,748,0.9855072463768116
2398,759,747,759,747,0.9841897233201581
3599,747,747,747,747,0.9841897233201581
2301,746,746,746,746,0.9828722002635046
2401,746,746,746,746,0.9828722002635046
2699,758,746,759,746,0.9828722002635046
2702,746,746,746,746,0.9828722002635046
4307,746,746,746,746,0.9828722002635046
5099,746,746,746,746,0.9828722002635046
2201,745,745,745,745,0.9815546772068511
2304,745,745,746,745,0.9815546772068511
5003,745,746,745,745,0.9815546772068511
5105,745,745,745,745,0.9815546772068511
2602,743,743,743,743,0.9789196310935442
3101,743,744,743,743,0.9789196310935442
4201,743,744,744,743,0.9789196310935442
3111,742,742,743,742,0.9776021080368906
3508,743,743,742,742,0.9776021080368906
3509,743,743,742,742,0.9776021080368906
2901,741,741,741,741,0.9762845849802372
4303,741,742,742,741,0.9762845849802372
2904,740,740,740,740,0.9749670619235836
3106,740,741,740,740,0.9749670619235836
3199,739,739,739,739,0.9736495388669302
3202,739,739,739,739,0.9736495388669302
4102,739,740,740,739,0.9736495388669302
4107,739,740,739,739,0.9736495388669302
2601,741,738,741,738,0.9723320158102767
3301,736,736,737,736,0.9696969696969697
4104,736,736,736,736,0.9696969696969697
2402,735,735,735,735,0.9683794466403162
3201,736,735,737,735,0.9683794466403162
2701,734,735,735,734,0.9670619235836627
3204,732,732,732,732,0.9644268774703557
4203,730,730,730,730,0.9617918313570487
2204,729,730,730,729,0.9604743083003953
5202,728,728,728,728,0.9591567852437418
