"ID_Meso","ETANOL_HIDRATADO","OLEO_DIESEL","GASOLINA_COMUM","Min","check"
1303,759,759,759,759,1
2202,759,759,759,759,1
2404,759,759,759,759,1
2504,759,759,759,759,1
2903,759,759,759,759,1
2905,759,759,759,759,1
3105,759,759,759,759,1
3107,759,759,759,759,1
3112,759,759,759,759,1
3203,759,759,759,759,1
3305,759,759,759,759,1
3306,759,759,759,759,1
3501,759,759,759,759,1
3502,759,759,759,759,1
3507,759,759,759,759,1
3512,759,759,759,759,1
3515,759,759,759,759,1
4103,759,759,759,759,1
4110,759,759,759,759,1
4305,759,759,759,759,1
4306,759,759,759,759,1
5002,759,759,759,759,1
5104,759,759,759,759,1
5203,759,759,759,759,1
5301,759,759,759,759,1
1202,758,759,759,758,0.9986824769433466
1702,758,758,759,758,0.9986824769433466
2703,758,759,759,758,0.9986824769433466
2803,759,758,759,758,0.9986824769433466
2907,758,759,758,758,0.9986824769433466
3102,758,759,759,758,0.9986824769433466
3108,758,759,758,758,0.9986824769433466
3109,758,759,758,758,0.9986824769433466
3302,758,758,758,758,0.9986824769433466
3513,758,758,758,758,0.9986824769433466
4106,758,759,758,758,0.9986824769433466
4202,758,759,759,758,0.9986824769433466
4204,758,758,758,758,0.9986824769433466
4205,758,758,759,758,0.9986824769433466
4206,758,759,759,758,0.9986824769433466
4302,758,758,758,758,0.9986824769433466
3505,757,757,757,757,0.997364953886693
3506,757,757,757,757,0.997364953886693
1101,757,756,757,756,0.9960474308300395
1102,756,757,757,756,0.9960474308300395
2101,756,757,757,756,0.9960474308300395
2902,756,756,756,756,0.9960474308300395
3110,756,757,757,756,0.9960474308300395
3303,756,756,756,756,0.9960474308300395
5205,757,757,756,756,0.9960474308300395
1701,754,755,754,754,0.9934123847167325
2906,754,755,754,754,0.9934123847167325
4105,754,755,754,754,0.9934123847167325
4301,754,754,754,754,0.9934123847167325
3304,753,753,753,753,0.9920948616600791
3510,753,753,753,753,0.9920948616600791
1401,752,759,759,752,0.9907773386034255
2501,752,752,752,752,0.9907773386034255
4101,752,753,752,752,0.9907773386034255
5101,752,753,753,752,0.9907773386034255
5204,752,752,752,752,0.9907773386034255
2102,751,752,752,751,0.9894598155467721
2104,751,752,752,751,0.9894598155467721
4304,751,751,751,751,0.9894598155467721
2802,750,751,751,750,0.9881422924901185
1506,749,754,754,749,0.9868247694334651
2307,748,748,748,748,0.9855072463768116
3503,748,748,748,748,0.9855072463768116
3504,748,748,748,748,0.9855072463768116
3511,747,747,747,747,0.9841897233201581
2103,746,747,747,746,0.9828722002635046
2301,746,746,746,746,0.9828722002635046
2401,746,746,746,746,0.9828722002635046
2702,746,746,746,746,0.9828722002635046
4307,746,746,746,746,0.9828722002635046
5004,746,746,746,746,0.9828722002635046
2201,745,745,745,745,0.9815546772068511
2304,745,745,746,745,0.9815546772068511
5003,745,746,745,745,0.9815546772068511
5105,745,745,745,745,0.9815546772068511
2602,743,743,743,743,0.9789196310935442
3101,743,744,743,743,0.9789196310935442
4201,743,744,744,743,0.9789196310935442
2302,742,742,742,742,0.9776021080368906
2306,742,742,742,742,0.9776021080368906
3111,742,742,743,742,0.9776021080368906
3508,743,743,742,742,0.9776021080368906
3509,743,743,742,742,0.9776021080368906
2901,741,741,741,741,0.9762845849802372
4303,741,742,742,741,0.9762845849802372
2904,740,740,740,740,0.9749670619235836
3106,740,741,740,740,0.9749670619235836
2603,758,739,758,739,0.9736495388669302
3104,739,739,739,739,0.9736495388669302
3202,739,739,739,739,0.9736495388669302
4102,739,740,740,739,0.9736495388669302
4107,739,740,739,739,0.9736495388669302
4108,739,740,739,739,0.9736495388669302
2601,741,738,741,738,0.9723320158102767
3301,736,736,737,736,0.9696969696969697
4104,736,736,736,736,0.9696969696969697
2402,735,735,735,735,0.9683794466403162
3201,736,735,737,735,0.9683794466403162
2701,734,735,735,734,0.9670619235836627
3204,732,732,732,732,0.9644268774703557
4203,730,730,730,730,0.9617918313570487
2204,729,730,730,729,0.9604743083003953
5202,728,728,728,728,0.9591567852437418
5001,727,727,728,727,0.9578392621870883
1501,724,741,741,724,0.9538866930171278
1504,721,737,737,721,0.9499341238471674
2105,721,721,721,721,0.9499341238471674
2503,746,713,746,713,0.9393939393939394
2604,728,712,728,712,0.9380764163372859
4109,712,712,712,712,0.9380764163372859
1505,704,723,723,704,0.927536231884058
3514,720,704,720,704,0.927536231884058
2305,725,696,725,696,0.9169960474308301
1602,693,758,758,693,0.9130434782608695
1503,759,685,759,685,0.9025032938076416
1304,663,667,667,663,0.8735177865612648
1201,653,745,745,653,0.8603425559947299
3103,652,652,652,652,0.8590250329380764
2303,759,447,759,447,0.5889328063241107
2605,758,447,759,447,0.5889328063241107
1402,225,577,577,225,0.2964426877470356
1502,222,569,569,222,0.2924901185770751
1601,23,570,570,23,0.030303030303030304
