"ESTADO","MUNICIPIO","ID_Municipio","ETANOL_HIDRATADO","OLEO_DIESEL","GASOLINA_COMUM","Min","check"
"AM","MANAUS",1302603,759,759,759,759,1
"BA","SALVADOR",2927408,759,759,759,759,1
"DF","BRASILIA",5300108,759,759,759,759,1
"MT","CUIABA",5103403,759,759,759,759,1
"PR","CURITIBA",4106902,759,759,759,759,1
"RJ","RIO DE JANEIRO",3304557,759,759,759,759,1
"SP","SAO PAULO",3550308,759,759,759,759,1
"AL","MACEIO",2704302,758,759,759,758,0.9986824769433466
"GO","GOIANIA",5208707,758,759,759,758,0.9986824769433466
"MS","CAMPO GRANDE",5002704,759,758,759,758,0.9986824769433466
"PB","JOAO PESSOA",2507507,759,758,759,758,0.9986824769433466
"PI","TERESINA",2211001,758,758,758,758,0.9986824769433466
"RN","NATAL",2408102,758,759,759,758,0.9986824769433466
"RS","PORTO ALEGRE",4314902,759,758,759,758,0.9986824769433466
"TO","PALMAS",1721000,758,758,759,758,0.9986824769433466
"AC","RIO BRANCO",1200401,757,759,759,757,0.997364953886693
"ES","VITORIA",3205309,758,757,758,757,0.997364953886693
"MG","BELO HORIZONTE",3106200,758,757,758,757,0.997364953886693
"RO","PORTO VELHO",1100205,757,756,757,756,0.9960474308300395
"MA","SAO LUIS",2111300,755,755,756,755,0.994729907773386
"SC","FLORIANOPOLIS",4205407,757,755,758,755,0.994729907773386
"RR","BOA VISTA",1400100,752,756,756,752,0.9907773386034255
"BA","FEIRA DE SANTANA",2910800,748,748,748,748,0.9855072463768116
"MG","UBERLANDIA",3170206,748,748,748,748,0.9855072463768116
"RJ","NOVA IGUACU",3303500,748,748,748,748,0.9855072463768116
"SP","OSASCO",3534401,748,748,748,748,0.9855072463768116
"SP","RIBEIRAO PRETO",3543402,748,748,748,748,0.9855072463768116
"SP","SAO JOSE DO RIO PRETO",3549805,748,748,748,748,0.9855072463768116
"BA","ILHEUS",2913606,747,747,747,747,0.9841897233201581
"CE","JUAZEIRO DO NORTE",2307304,747,748,747,747,0.9841897233201581
"MG","CONTAGEM",3118601,747,747,747,747,0.9841897233201581
"MG","JUIZ DE FORA",3136702,748,747,748,747,0.9841897233201581
"MG","MONTES CLAROS",3143302,747,748,747,747,0.9841897233201581
"PR","CASCAVEL",4104808,747,748,747,747,0.9841897233201581
"PR","LONDRINA",4113700,748,747,747,747,0.9841897233201581
"RJ","DUQUE DE CAXIAS",3301702,747,747,747,747,0.9841897233201581
"RJ","NITEROI",3303302,748,747,748,747,0.9841897233201581
"SP","ARACATUBA",3502804,748,747,748,747,0.9841897233201581
"SP","BAURU",3506003,747,747,747,747,0.9841897233201581
"SP","CAMPINAS",3509502,747,748,747,747,0.9841897233201581
"SP","FRANCA",3516200,748,748,747,747,0.9841897233201581
"SP","PRAIA GRANDE",3541000,747,748,747,747,0.9841897233201581
"SP","SANTA BARBARA D'OESTE",3545803,747,747,747,747,0.9841897233201581
"SP","SOROCABA",3552205,747,747,747,747,0.9841897233201581
"BA","CAMACARI",2905701,746,746,746,746,0.9828722002635046
"CE","SOBRAL",2312908,746,746,746,746,0.9828722002635046
"MG","UBERABA",3170107,746,746,746,746,0.9828722002635046
"RJ","CAMPOS DOS GOYTACAZES",3301009,746,746,747,746,0.9828722002635046
"RJ","SAO GONCALO",3304904,747,746,747,746,0.9828722002635046
"RJ","VOLTA REDONDA",3306305,746,746,747,746,0.9828722002635046
"RN","MOSSORO",2408003,746,746,746,746,0.9828722002635046
"SC","JOINVILLE",4209102,746,746,746,746,0.9828722002635046
"SP","DIADEMA",3513801,746,746,746,746,0.9828722002635046
"SP","GUARULHOS",3518800,746,746,746,746,0.9828722002635046
"SP","SAO JOSE DOS CAMPOS",3549904,746,747,747,746,0.9828722002635046
"SP","SAO VICENTE",3551009,746,747,746,746,0.9828722002635046
"AL","ARAPIRACA",2700300,745,745,745,745,0.9815546772068511
"BA","ITABUNA",2914802,745,746,745,745,0.9815546772068511
"MT","RONDONOPOLIS",5107602,745,745,745,745,0.9815546772068511
"MS","DOURADOS",5003702,746,746,745,745,0.9815546772068511
"MG","BETIM",3106705,745,746,745,745,0.9815546772068511
"MG","FORMIGA",3126109,745,746,745,745,0.9815546772068511
"RJ","BARRA MANSA",3300407,745,746,745,745,0.9815546772068511
"RS","CANOAS",4304606,745,745,746,745,0.9815546772068511
"RS","PELOTAS",4314407,745,745,746,745,0.9815546772068511
"SC","CRICIUMA",4204608,745,746,745,745,0.9815546772068511
"SP","AMERICANA",3501608,745,745,745,745,0.9815546772068511
"SP","LIMEIRA",3526902,745,746,745,745,0.9815546772068511
"SE","NOSSA SENHORA DO SOCORRO",2804805,746,746,745,745,0.9815546772068511
"BA","JUAZEIRO",2918407,745,744,745,744,0.9802371541501976
"GO","ITUMBIARA",5211503,745,745,744,744,0.9802371541501976
"MG","CAMPO BELO",3111200,744,744,744,744,0.9802371541501976
"PR","MARINGA",4115200,744,744,744,744,0.9802371541501976
"PI","PARNAIBA",2207702,744,744,744,744,0.9802371541501976
"SP","BARUERI",3505708,744,744,744,744,0.9802371541501976
"SP","JACAREI",3524402,744,744,744,744,0.9802371541501976
"SP","PIRACICABA",3538709,744,744,744,744,0.9802371541501976
"SP","SAO BERNARDO DO CAMPO",3548708,747,744,747,744,0.9802371541501976
"SP","SAO CARLOS",3548906,745,744,744,744,0.9802371541501976
"AM","ITACOATIARA",1301902,743,746,746,743,0.9789196310935442
"BA","VITORIA DA CONQUISTA",2933307,743,743,743,743,0.9789196310935442
"GO","APARECIDA DE GOIANIA",5201405,743,743,743,743,0.9789196310935442
"MT","VARZEA GRANDE",5108402,743,743,743,743,0.9789196310935442
"MG","POUSO ALEGRE",3152501,743,743,743,743,0.9789196310935442
"PR","PONTA GROSSA",4119905,743,744,743,743,0.9789196310935442
"PE","PETROLINA",2611101,743,743,743,743,0.9789196310935442
"RJ","BELFORD ROXO",3300456,743,743,743,743,0.9789196310935442
"RJ","PETROPOLIS",3303906,743,743,743,743,0.9789196310935442
"SP","ARARAQUARA",3503208,743,744,743,743,0.9789196310935442
"SP","MAUA",3529401,743,743,743,743,0.9789196310935442
"SP","MOGI DAS CRUZES",3530607,743,744,744,743,0.9789196310935442
"SP","SANTO ANDRE",3547809,743,744,744,743,0.9789196310935442
"BA","LAURO DE FREITAS",2919207,743,742,743,742,0.9776021080368906
"CE","IGUATU",2305506,742,742,742,742,0.9776021080368906
"MG","GOVERNADOR VALADARES",3127701,742,743,742,742,0.9776021080368906
"MG","PATOS DE MINAS",3148004,742,742,742,742,0.9776021080368906
"MG","UNAI",3170404,742,743,742,742,0.9776021080368906
"PR","FOZ DO IGUACU",4108304,742,742,742,742,0.9776021080368906
"RJ","MACAE",3302403,742,742,742,742,0.9776021080368906
"RN","PARNAMIRIM",2403251,742,742,742,742,0.9776021080368906
"RS","PASSO FUNDO",4314100,742,742,742,742,0.9776021080368906
"SC","BLUMENAU",4202404,743,742,743,742,0.9776021080368906
"SP","JUNDIAI",3525904,743,742,743,742,0.9776021080368906
"BA","BARREIRAS",2903201,741,741,741,741,0.9762845849802372
"ES","SERRA",3205002,741,741,741,741,0.9762845849802372
"GO","FORMOSA",5208004,741,741,741,741,0.9762845849802372
"GO","RIO VERDE",5218805,741,741,741,741,0.9762845849802372
"PR","UMUARAMA",4128104,741,741,741,741,0.9762845849802372
"RJ","TERESOPOLIS",3305802,742,741,742,741,0.9762845849802372
"RS","CAXIAS DO SUL",4305108,747,741,747,741,0.9762845849802372
"RS","NOVO HAMBURGO",4313409,741,741,742,741,0.9762845849802372
"RS","SANTA MARIA",4316907,741,742,742,741,0.9762845849802372
"SP","ASSIS",3504008,741,741,741,741,0.9762845849802372
"SP","POA",3539806,741,741,741,741,0.9762845849802372
"SP","PRESIDENTE PRUDENTE",3541406,742,742,741,741,0.9762845849802372
"SP","RIBEIRAO PIRES",3543303,741,741,741,741,0.9762845849802372
"BA","SIMOES FILHO",2930709,740,741,741,740,0.9749670619235836
"BA","VALENCA",2932903,740,740,740,740,0.9749670619235836
"CE","CRATO",2304202,740,740,740,740,0.9749670619235836
"ES","VILA VELHA",3205200,740,740,740,740,0.9749670619235836
"GO","ANAPOLIS",5201108,740,741,740,740,0.9749670619235836
"GO","CALDAS NOVAS",5204508,740,740,740,740,0.9749670619235836
"MG","ITUIUTABA",3134202,740,741,741,740,0.9749670619235836
"PA","MARABA",1504208,740,742,742,740,0.9749670619235836
"RJ","NOVA FRIBURGO",3303401,741,740,741,740,0.9749670619235836
"SC","BRUSQUE",4202909,740,740,740,740,0.9749670619235836
"SP","BIRIGUI",3506508,741,741,740,740,0.9749670619235836
"SP","CARAPICUIBA",3510609,740,740,740,740,0.9749670619235836
"SP","CUBATAO",3513504,741,740,741,740,0.9749670619235836
"SP","MARILIA",3529005,740,740,740,740,0.9749670619235836
"SP","TAUBATE",3554102,740,740,741,740,0.9749670619235836
"SE","ARACAJU",2800308,759,740,759,740,0.9749670619235836
"TO","GURUPI",1709500,740,741,740,740,0.9749670619235836
"AL","PALMEIRA DOS INDIOS",2706307,739,739,739,739,0.9736495388669302
"BA","ALAGOINHAS",2900702,740,739,740,739,0.9736495388669302
"BA","GUANAMBI",2911709,739,739,739,739,0.9736495388669302
"BA","IRECE",2914604,739,739,739,739,0.9736495388669302
"GO","JATAI",5211909,739,739,739,739,0.9736495388669302
"MA","IMPERATRIZ",2105302,739,741,741,739,0.9736495388669302
"MG","ARAGUARI",3103504,739,739,739,739,0.9736495388669302
"MG","SETE LAGOAS",3167202,739,739,739,739,0.9736495388669302
"MG","TEOFILO OTONI",3168606,739,739,739,739,0.9736495388669302
"PR","CAMPO MOURAO",4104303,739,740,740,739,0.9736495388669302
"PR","TOLEDO",4127700,739,739,739,739,0.9736495388669302
"RS","GRAVATAI",4309209,739,739,739,739,0.9736495388669302
"SP","BEBEDOURO",3506102,739,739,739,739,0.9736495388669302
"SP","SAO ROQUE",3550605,739,739,739,739,0.9736495388669302
"TO","PORTO NACIONAL",1718204,739,739,739,739,0.9736495388669302
"BA","JEQUIE",2918001,738,738,738,738,0.9723320158102767
"CE","ICO",2305407,738,738,738,738,0.9723320158102767
"GO","CATALAO",5205109,738,739,738,738,0.9723320158102767
"MT","SINOP",5107909,738,738,739,738,0.9723320158102767
"MS","TRES LAGOAS",5008305,738,738,738,738,0.9723320158102767
"MG","OLIVEIRA",3145604,738,739,738,738,0.9723320158102767
"PB","BAYEUX",2501807,738,738,738,738,0.9723320158102767
"PR","GUARAPUAVA",4109401,738,739,738,738,0.9723320158102767
"RJ","SAO JOAO DE MERITI",3305109,739,738,739,738,0.9723320158102767
"SC","ITAJAI",4208203,742,738,742,738,0.9723320158102767
"SC","TUBARAO",4218707,738,738,739,738,0.9723320158102767
"MG","TRES CORACOES",3169307,737,737,738,737,0.9710144927536232
"PB","PATOS",2510808,737,737,737,737,0.9710144927536232
"PR","SAO JOSE DOS PINHAIS",4125506,737,737,737,737,0.9710144927536232
"RJ","ITABORAI",3301900,737,737,737,737,0.9710144927536232
"SP","VOTUPORANGA",3557105,737,737,737,737,0.9710144927536232
"SP","MOGI GUACU",3530706,736,736,736,736,0.9696969696969697
"ES","COLATINA",3201506,736,735,737,735,0.9683794466403162
"MG","DIVINOPOLIS",3122306,735,735,735,735,0.9683794466403162
"RJ","RESENDE",3304201,735,735,735,735,0.9683794466403162
"RN","CAICO",2402006,735,735,735,735,0.9683794466403162
"SC","JARAGUA DO SUL",4208906,735,736,736,735,0.9683794466403162
"SP","MATAO",3529302,736,735,736,735,0.9683794466403162
"SP","SAO CAETANO DO SUL",3548807,745,735,745,735,0.9683794466403162
"AL","DELMIRO GOUVEIA",2702405,734,735,735,734,0.9670619235836627
"BA","CAETITE",2905206,734,734,734,734,0.9670619235836627
"MG","ITABIRA",3131703,734,734,734,734,0.9670619235836627
"RJ","CABO FRIO",3300704,734,734,734,734,0.9670619235836627
"RS","BAGE",4301602,734,735,735,734,0.9670619235836627
