"OLEO_DIESEL","QtdMunicipios"
434,1
442,1
447,1
452,1
454,1
455,1
459,1
460,1
495,1
532,1
539,1
540,1
543,1
544,1
548,1
553,1
559,1
566,1
567,1
575,1
578,1
580,1
581,1
602,1
616,1
623,1
639,1
640,1
648,1
653,1
654,1
663,1
665,1
668,1
671,1
673,1
674,1
676,1
679,1
680,1
686,1
697,1
702,1
728,1
732,1
744,1
747,1
749,1
761,1
767,1
779,1
780,1
786,1
788,1
789,1
795,1
800,1
803,1
804,1
868,1
872,1
876,1
880,1
885,1
439,2
446,2
478,2
555,2
564,2
569,2
579,2
649,2
652,2
655,2
657,2
659,2
661,2
667,2
672,2
699,2
798,2
801,2
805,2
834,2
862,2
863,2
867,2
870,2
886,2
888,2
889,2
568,3
570,3
574,3
660,3
662,3
811,3
838,3
842,3
846,3
847,3
848,3
850,3
854,3
858,3
866,3
874,3
875,3
878,3
571,4
807,4
821,4
825,4
827,4
835,4
852,4
857,4
859,4
860,4
869,4
877,4
577,5
666,5
806,5
808,5
820,5
824,5
839,5
851,5
861,5
865,5
871,5
873,5
572,6
822,6
828,6
829,6
831,6
840,6
841,6
864,6
576,7
826,7
830,7
832,7
833,7
837,7
849,7
853,7
855,7
809,8
810,8
812,8
813,8
816,8
843,8
845,8
856,8
890,8
891,8
817,9
819,9
844,9
814,10
815,10
818,11
836,11
823,15
