"OLEO_DIESEL_S10","QtdMunicipios"
39,1
51,1
54,1
62,1
65,1
79,1
80,1
88,1
95,1
97,1
104,1
108,1
109,1
114,1
115,1
116,1
117,1
121,1
123,1
125,1
130,1
136,1
172,1
180,1
185,1
187,1
199,1
205,1
206,1
211,1
213,1
215,1
217,1
223,1
224,1
226,1
229,1
230,1
232,1
235,1
268,1
286,1
314,1
317,1
322,1
327,1
331,1
344,1
351,1
353,1
354,1
356,1
357,1
363,1
431,1
432,1
438,1
439,1
440,1
441,1
107,2
124,2
126,2
127,2
134,2
194,2
200,2
214,2
225,2
228,2
319,2
347,2
349,2
358,2
359,2
361,2
364,2
366,2
404,2
133,3
218,3
360,3
382,3
408,3
412,3
413,3
418,3
423,3
424,3
430,3
132,4
137,4
221,4
371,4
387,4
411,4
414,4
419,4
422,4
425,4
428,4
365,5
367,5
372,5
388,5
389,5
397,5
399,5
402,5
406,5
407,5
416,5
420,5
421,5
426,5
444,5
219,6
385,6
391,6
395,6
398,6
403,6
415,6
427,6
429,6
369,7
375,7
381,7
384,7
392,7
410,7
442,7
370,8
374,8
380,8
390,8
400,8
409,8
368,9
376,9
378,9
394,9
379,10
386,10
393,10
396,10
443,10
373,11
383,11
401,11
405,11
135,12
377,12
