"";"Combustivel";"Model";"Region";"ModelCode";"mad";"MCS_pValue";"Critical"
"1";"Ethanol";"VECM";"R1";"E_VECM_R1";0,01174;0,0151;NA
"2";"Ethanol";"VECM2";"R1";"E_VECM2_R1";0,01095;0,2822;"*"
"3";"Ethanol";"M1";"R1";"E_M1_R1";0,00999;0,2822;"*"
"4";"Ethanol";"M12";"R1";"E_M12_R1";0,01069;0,2822;"*"
"5";"Ethanol";"M13";"R1";"E_M13_R1";0,01132;0,0772;NA
"6";"Ethanol";"M14";"R1";"E_M14_R1";0,01135;0,2372;"*"
"7";"Ethanol";"M15";"R1";"E_M15_R1";0,01209;0,0445;NA
"8";"Ethanol";"M16";"R1";"E_M16_R1";0,00938;1;"*"
"9";"Ethanol";"M17";"R1";"E_M17_R1";0,00997;0,2822;"*"
"10";"Ethanol";"M18";"R1";"E_M18_R1";0,01012;0,275;"*"
"11";"Ethanol";"M21";"R1";"E_M21_R1";0,01018;0,2822;"*"
"12";"Ethanol";"M22";"R1";"E_M22_R1";0,01079;0,2822;"*"
"13";"Ethanol";"M23";"R1";"E_M23_R1";0,01146;0,0523;NA
"14";"Ethanol";"M24";"R1";"E_M24_R1";0,0113;0,275;"*"
"15";"Ethanol";"M25";"R1";"E_M25_R1";0,0121;0,039;NA
"16";"Ethanol";"M26";"R1";"E_M26_R1";0,01069;0,275;"*"
"17";"Ethanol";"M27";"R1";"E_M27_R1";0,01057;0,2822;"*"
"18";"Ethanol";"M28";"R1";"E_M28_R1";0,01002;0,2822;"*"
"19";"Ethanol";"VECM";"R2";"E_VECM_R2";0,00764;1;"*"
"20";"Ethanol";"VECM2";"R2";"E_VECM2_R2";0,00818;0,1197;"**"
"21";"Ethanol";"M1";"R2";"E_M1_R2";0,0083;0,3547;"*"
"22";"Ethanol";"M12";"R2";"E_M12_R2";0,0087;0,0513;NA
"23";"Ethanol";"M13";"R2";"E_M13_R2";0,0087;0,0556;NA
"24";"Ethanol";"M14";"R2";"E_M14_R2";0,00938;0,0048;NA
"25";"Ethanol";"M15";"R2";"E_M15_R2";0,00932;0,0058;NA
"26";"Ethanol";"M16";"R2";"E_M16_R2";0,00774;0,9237;"*"
"27";"Ethanol";"M17";"R2";"E_M17_R2";0,00832;0,3302;"*"
"28";"Ethanol";"M18";"R2";"E_M18_R2";0,00766;0,9265;"*"
"29";"Ethanol";"M21";"R2";"E_M21_R2";0,00793;0,9178;"*"
"30";"Ethanol";"M22";"R2";"E_M22_R2";0,00885;0,0411;NA
"31";"Ethanol";"M23";"R2";"E_M23_R2";0,00889;0,0336;NA
"32";"Ethanol";"M24";"R2";"E_M24_R2";0,00949;0,0035;NA
"33";"Ethanol";"M25";"R2";"E_M25_R2";0,0094;0,0058;NA
"34";"Ethanol";"M26";"R2";"E_M26_R2";0,00788;0,9178;"*"
"35";"Ethanol";"M27";"R2";"E_M27_R2";0,00802;0,7412;"*"
"36";"Ethanol";"M28";"R2";"E_M28_R2";0,0081;0,6958;"*"
"37";"Ethanol";"VECM";"R3";"E_VECM_R3";0,01389;0,0033;NA
"38";"Ethanol";"VECM2";"R3";"E_VECM2_R3";0,01402;0,0019;NA
"39";"Ethanol";"M1";"R3";"E_M1_R3";0,0123;0,0087;NA
"40";"Ethanol";"M12";"R3";"E_M12_R3";0,01487;0,0047;NA
"41";"Ethanol";"M13";"R3";"E_M13_R3";0,01553;0,0027;NA
"42";"Ethanol";"M14";"R3";"E_M14_R3";0,01633;2e-04;NA
"43";"Ethanol";"M15";"R3";"E_M15_R3";0,01713;0;NA
"44";"Ethanol";"M16";"R3";"E_M16_R3";0,01152;1;"*"
"45";"Ethanol";"M17";"R3";"E_M17_R3";0,01284;0,001;NA
"46";"Ethanol";"M18";"R3";"E_M18_R3";0,01154;0,9933;"*"
"47";"Ethanol";"M21";"R3";"E_M21_R3";0,01276;0,0015;NA
"48";"Ethanol";"M22";"R3";"E_M22_R3";0,01503;0,0047;NA
"49";"Ethanol";"M23";"R3";"E_M23_R3";0,01571;0,0019;NA
"50";"Ethanol";"M24";"R3";"E_M24_R3";0,01654;0;NA
"51";"Ethanol";"M25";"R3";"E_M25_R3";0,01728;0;NA
"52";"Ethanol";"M26";"R3";"E_M26_R3";0,01188;0,3328;"*"
"53";"Ethanol";"M27";"R3";"E_M27_R3";0,01248;0,0035;NA
"54";"Ethanol";"M28";"R3";"E_M28_R3";0,01153;0,9933;"*"
"55";"Ethanol";"VECM";"R4";"E_VECM_R4";0,02645;0,6931;"*"
"56";"Ethanol";"VECM2";"R4";"E_VECM2_R4";0,02631;0,6931;"*"
"57";"Ethanol";"M1";"R4";"E_M1_R4";0,0273;0,0416;NA
"58";"Ethanol";"M12";"R4";"E_M12_R4";0,02916;0,0094;NA
"59";"Ethanol";"M13";"R4";"E_M13_R4";0,02922;0,0134;NA
"60";"Ethanol";"M14";"R4";"E_M14_R4";0,02966;0,0011;NA
"61";"Ethanol";"M15";"R4";"E_M15_R4";0,03024;3e-04;NA
"62";"Ethanol";"M16";"R4";"E_M16_R4";0,02523;1;"*"
"63";"Ethanol";"M17";"R4";"E_M17_R4";0,02716;0,1123;"**"
"64";"Ethanol";"M18";"R4";"E_M18_R4";0,02546;0,6931;"*"
"65";"Ethanol";"M21";"R4";"E_M21_R4";0,02596;0,6274;"*"
"66";"Ethanol";"M22";"R4";"E_M22_R4";0,02913;0,0094;NA
"67";"Ethanol";"M23";"R4";"E_M23_R4";0,02922;0,0134;NA
"68";"Ethanol";"M24";"R4";"E_M24_R4";0,02989;3e-04;NA
"69";"Ethanol";"M25";"R4";"E_M25_R4";0,03036;3e-04;NA
"70";"Ethanol";"M26";"R4";"E_M26_R4";0,0262;0,6931;"*"
"71";"Ethanol";"M27";"R4";"E_M27_R4";0,02588;0,6931;"*"
"72";"Ethanol";"M28";"R4";"E_M28_R4";0,02623;0,6931;"*"
"73";"Ethanol";"VECM";"R5";"E_VECM_R5";0,01731;0,0306;NA
"74";"Ethanol";"VECM2";"R5";"E_VECM2_R5";0,01638;0,2279;"*"
"75";"Ethanol";"M1";"R5";"E_M1_R5";0,01638;0,0172;NA
"76";"Ethanol";"M12";"R5";"E_M12_R5";0,01669;0,2388;"*"
"77";"Ethanol";"M13";"R5";"E_M13_R5";0,01746;0,0306;NA
"78";"Ethanol";"M14";"R5";"E_M14_R5";0,01737;0,1429;"**"
"79";"Ethanol";"M15";"R5";"E_M15_R5";0,01901;0,0016;NA
"80";"Ethanol";"M16";"R5";"E_M16_R5";0,01493;0,7912;"*"
"81";"Ethanol";"M17";"R5";"E_M17_R5";0,01551;0,5442;"*"
"82";"Ethanol";"M18";"R5";"E_M18_R5";0,0152;0,6081;"*"
"83";"Ethanol";"M21";"R5";"E_M21_R5";0,01628;0,0306;NA
"84";"Ethanol";"M22";"R5";"E_M22_R5";0,01695;0,1495;"**"
"85";"Ethanol";"M23";"R5";"E_M23_R5";0,01772;0,0113;NA
"86";"Ethanol";"M24";"R5";"E_M24_R5";0,01789;0,0369;NA
"87";"Ethanol";"M25";"R5";"E_M25_R5";0,01953;3e-04;NA
"88";"Ethanol";"M26";"R5";"E_M26_R5";0,01488;1;"*"
"89";"Ethanol";"M27";"R5";"E_M27_R5";0,01537;0,572;"*"
"90";"Ethanol";"M28";"R5";"E_M28_R5";0,01583;0,3676;"*"
